Departamento;Municipio;Tipologia;Estado  de intervención
SANTANDER;BARBOSA;Tipo IV;Sin minas
SANTANDER;BARICHARA;Tipo IV;Sin minas
SANTANDER;BARRANCABERMEJA;Tipo II;Sin minas
SANTANDER;BETULIA;Tipo III;Sin minas
SANTANDER;BOLÍVAR;Tipo III;Sin minas
SANTANDER;BUCARAMANGA;Tipo II;Sin minas
SANTANDER;CABRERA;Tipo IV;Sin minas
SANTANDER;CALIFORNIA;Tipo II;En intervención
SANTANDER;CAPITANEJO;Tipo III;Sin minas
SANTANDER;CARCASÍ;Tipo III;Sin minas
SANTANDER;CEPITÁ;Tipo IV;Sin minas
SANTANDER;CERRITO;Tipo III;Sin minas
SANTANDER;CHARALÁ;Tipo IV;Sin minas
SANTANDER;CHARTA;Tipo II;En intervención
SANTANDER;CHIMA;Tipo III;En intervención
SANTANDER;CHIPATÁ;Tipo IV;Sin minas
SANTANDER;CIMITARRA;Tipo II;Sin minas
SANTANDER;CONCEPCIÓN;Tipo IV;Sin minas
SANTANDER;CONFINES;Tipo IV;Sin minas
SANTANDER;CONTRATACIÓN;Tipo III;Sin minas
SANTANDER;COROMORO;Tipo IV;Sin minas
SANTANDER;CURITÍ;Tipo II;Sin minas
SANTANDER;EL CARMEN DE CHUCURÍ;Plan de intervención DH;Sin minas
SANTANDER;EL GUACAMAYO;Tipo III;Sin minas
SANTANDER;EL PEÑÓN;Tipo II;En intervención
SANTANDER;EL PLAYÓN;Tipo II;En intervención
SANTANDER;ENCINO;Tipo IV;Sin minas
SANTANDER;ENCISO;Tipo IV;Sin minas
SANTANDER;FLORIÁN;Tipo IV;Sin minas
SANTANDER;FLORIDABLANCA;Tipo III;Sin minas
SANTANDER;GALÁN;Tipo II;Sin minas
SANTANDER;GÁMBITA;Tipo IV;Sin minas
SANTANDER;GIRÓN;Tipo II;En intervención
SANTANDER;GUACA;Tipo III;Sin minas
SANTANDER;GUADALUPE;Tipo II;Sin minas
SANTANDER;GUAPOTÁ;Tipo IV;Sin minas
SANTANDER;GUAVATÁ;Tipo IV;Sin minas
SANTANDER;GÜEPSA;Tipo IV;Sin minas
SANTANDER;HATO;Tipo II;En intervención
SANTANDER;JESÚS MARÍA;Tipo IV;Sin minas
SANTANDER;JORDÁN;Tipo IV;Sin minas
SANTANDER;LA BELLEZA;Tipo II;Sin minas
SANTANDER;LA PAZ;Tipo IV;Sin minas
SANTANDER;LANDÁZURI;Tipo II;En intervención
SANTANDER;LEBRIJA;Tipo II;Sin minas
SANTANDER;LOS SANTOS;Tipo IV;Sin minas
SANTANDER;MACARAVITA;Tipo II;Sin minas
SANTANDER;MÁLAGA;Tipo IV;Sin minas
SANTANDER;MATANZA;Tipo II;En intervención
SANTANDER;MOGOTES;Tipo IV;Sin minas
SANTANDER;MOLAGAVITA;Tipo IV;Sin minas
SANTANDER;OCAMONTE;Tipo IV;Sin minas
SANTANDER;OIBA;Tipo IV;Sin minas
SANTANDER;ONZAGA;Tipo IV;Sin minas
SANTANDER;PALMAR;Tipo IV;Sin minas
SANTANDER;PALMAS DEL SOCORRO;Tipo IV;Sin minas
SANTANDER;PÁRAMO;Tipo IV;Sin minas
SANTANDER;PIEDECUESTA;Tipo II;Sin minas
SANTANDER;PINCHOTE;Tipo IV;Sin minas
SANTANDER;PUENTE NACIONAL;Tipo III;Sin minas
SANTANDER;PUERTO PARRA;Tipo III;Sin minas
SANTANDER;PUERTO WILCHES;Tipo II;En intervención
SANTANDER;RIONEGRO;Tipo II;En intervención
SANTANDER;SABANA DE TORRES;Plan de intervención DH;Sin minas
SANTANDER;SAN ANDRÉS;Tipo IV;Sin minas
SANTANDER;SAN BENITO;Tipo IV;Sin minas
SANTANDER;SAN GIL;Tipo IV;Sin minas
SANTANDER;SAN JOAQUÍN;Tipo IV;Sin minas
SANTANDER;SAN JOSÉ DE MIRANDA;Tipo IV;Sin minas
SANTANDER;SAN MIGUEL;Tipo II;Sin minas
SANTANDER;SAN VICENTE DE CHUCURÍ;Plan de intervención DH;Sin minas
SANTANDER;SANTA BÁRBARA;Tipo IV;Sin minas
SANTANDER;SANTA HELENA DEL OPÓN;Tipo III;Sin minas
SANTANDER;SIMACOTA;Tipo II;En intervención
SANTANDER;SOCORRO;Tipo II;Sin minas
SANTANDER;SUAITA;Tipo II;Sin minas
SANTANDER;SUCRE;Tipo II;En intervención
SANTANDER;SURATÁ;Tipo II;En intervención
SANTANDER;TONA;Tipo III;Sin minas
SANTANDER;VALLE DE SAN JOSÉ;Tipo IV;Sin minas
SANTANDER;VÉLEZ;Tipo II;Sin minas
SANTANDER;VETAS;Tipo IV;Sin minas
SANTANDER;VILLANUEVA;Tipo IV;Sin minas
SANTANDER;ZAPATOCA;Tipo II;Sin minas
SUCRE;BUENAVISTA;Tipo IV;Sin minas
SUCRE;CAIMITO;Tipo IV;Sin minas
SUCRE;CHALÁN;Tipo II;En intervención
SUCRE;COLOSO;Tipo II;En intervención
SUCRE;COROZAL;Tipo II;Sin minas
SUCRE;COVEÑAS;Tipo IV;Sin minas
SUCRE;EL ROBLE;Tipo IV;Sin minas
SUCRE;GALERAS;Tipo IV;En intervención
SUCRE;GUARANDA;Tipo II;En intervención
SUCRE;LA UNIÓN;Tipo II;En intervención
SUCRE;LOS PALMITOS;Tipo II;Sin minas
SUCRE;MAJAGUAL;Tipo II;En intervención
SUCRE;MORROA;Tipo II;Sin minas
SUCRE;OVEJAS;Tipo II;En intervención
SUCRE;PALMITO;Tipo IV;Sin minas
SUCRE;SAMPUÉS;Tipo IV;Sin minas
SUCRE;SAN BENITO ABAD;Tipo II;En intervención
SUCRE;SAN JUAN DE BETULIA;Tipo IV;Sin minas
SUCRE;SAN LUIS DE SINCÉ;Tipo IV;Sin minas
SUCRE;SAN MARCOS;Tipo IV;Sin minas
SUCRE;SAN ONOFRE;Tipo II;En intervención
SUCRE;SAN PEDRO;Tipo III;Sin minas
SUCRE;SANTIAGO DE TOLÚ;Tipo IV;Sin minas
SUCRE;SINCELEJO;Tipo II;Sin minas
SUCRE;SUCRE;Tipo III;En intervención
SUCRE;TOLÚ VIEJO;Tipo IV;Sin minas
TOLIMA;ALPUJARRA;Tipo III;Sin minas
TOLIMA;ALVARADO;Tipo II;Sin minas
TOLIMA;AMBALEMA;Tipo IV;Sin minas
TOLIMA;ANZOÁTEGUI;Tipo II;Sin minas
TOLIMA;ARMERO GUAYABAL;Tipo IV;Sin minas
TOLIMA;ATACO;Tipo II;Sin minas
TOLIMA;CAJAMARCA;Tipo I;En intervención
TOLIMA;CARMEN DE APICALÁ;Tipo IV;Sin minas
TOLIMA;CASABIANCA;Tipo IV;Sin minas
TOLIMA;CHAPARRAL;Tipo I;En intervención
TOLIMA;COELLO;Tipo IV;Sin minas
TOLIMA;COYAIMA;Tipo II;Sin minas
TOLIMA;CUNDAY;Tipo III;Sin minas
TOLIMA;DOLORES;Tipo I;En intervención
TOLIMA;ESPINAL;Tipo IV;Sin minas
TOLIMA;FALAN;Tipo IV;Sin minas
TOLIMA;FLANDES;Tipo III;Sin minas
TOLIMA;FRESNO;Tipo IV;Sin minas
TOLIMA;GUAMO;Tipo IV;Sin minas
TOLIMA;HERVEO;Tipo II;Sin minas
TOLIMA;HONDA;Tipo IV;Sin minas
TOLIMA;IBAGUÉ;Tipo I;En intervención
TOLIMA;ICONONZO;Tipo I;Sin minas
TOLIMA;LÉRIDA;Tipo II;Sin minas
TOLIMA;LÍBANO;Tipo II;Sin minas
TOLIMA;MELGAR;Tipo I;Sin minas
TOLIMA;MURILLO;Tipo IV;Sin minas
TOLIMA;NATAGAIMA;Tipo II;Sin minas
TOLIMA;ORTEGA;Tipo II;En intervención
TOLIMA;PALOCABILDO;Tipo III;Sin minas
TOLIMA;PIEDRAS;Tipo IV;Sin minas
TOLIMA;PLANADAS;Tipo I;En intervención
TOLIMA;PRADO;Tipo II;Sin minas
TOLIMA;PURIFICACIÓN;Tipo III;Sin minas
TOLIMA;RIOBLANCO;Tipo I;En intervención
TOLIMA;RONCESVALLES;Tipo I;En intervención
TOLIMA;ROVIRA;Tipo I;En intervención
TOLIMA;SALDAÑA;Tipo IV;Sin minas
TOLIMA;SAN ANTONIO;Tipo I;En intervención
TOLIMA;SAN LUIS;Tipo IV;Sin minas
TOLIMA;SAN SEBASTIÁN DE MARIQUITA;Tipo II;Sin minas
TOLIMA;SANTA ISABEL;Tipo II;Sin minas
TOLIMA;SUÁREZ;Tipo IV;Sin minas
TOLIMA;VALLE DE SAN JUAN;Tipo IV;Sin minas
TOLIMA;VENADILLO;Tipo IV;En intervención
TOLIMA;VILLAHERMOSA;Tipo II;Sin minas
TOLIMA;VILLARRICA;Tipo II;Sin minas
VALLE DEL CAUCA;ALCALÁ;Tipo IV;Sin minas
VALLE DEL CAUCA;ANDALUCÍA;Tipo III;Sin minas
VALLE DEL CAUCA;ANSERMANUEVO;Tipo IV;Sin minas
VALLE DEL CAUCA;ARGELIA;Tipo IV;Sin minas
VALLE DEL CAUCA;BOLÍVAR;Tipo III;Sin minas
VALLE DEL CAUCA;BUENAVENTURA;Tipo I;Por intervenir
VALLE DEL CAUCA;BUGALAGRANDE;Tipo I;Sin minas
VALLE DEL CAUCA;CAICEDONIA;Tipo IV;Sin minas
VALLE DEL CAUCA;CALI;Tipo II;Sin minas
VALLE DEL CAUCA;CALIMA;Tipo II;En intervención
VALLE DEL CAUCA;CANDELARIA;Tipo IV;Sin minas
VALLE DEL CAUCA;CARTAGO;Tipo IV;Sin minas
VALLE DEL CAUCA;DAGUA;Tipo I;En intervención
VALLE DEL CAUCA;EL ÁGUILA;Tipo II;En intervención
VALLE DEL CAUCA;EL CAIRO;Tipo IV;Sin minas
VALLE DEL CAUCA;EL CERRITO;Tipo II;Sin minas
VALLE DEL CAUCA;EL DOVIO;Tipo III;Sin minas
VALLE DEL CAUCA;FLORIDA;Tipo I;En intervención
VALLE DEL CAUCA;GINEBRA;Tipo III;Sin minas
VALLE DEL CAUCA;GUACARÍ;Tipo II;Sin minas
VALLE DEL CAUCA;GUADALAJARA DE BUGA;Tipo I;Por intervenir
VALLE DEL CAUCA;JAMUNDÍ;Tipo I;Por intervenir
VALLE DEL CAUCA;LA CUMBRE;Tipo II;Sin minas
VALLE DEL CAUCA;LA UNIÓN;Tipo IV;Sin minas
VALLE DEL CAUCA;LA VICTORIA;Tipo IV;Sin minas
VALLE DEL CAUCA;OBANDO;Tipo IV;Sin minas
VALLE DEL CAUCA;PALMIRA;Tipo I;En intervención
VALLE DEL CAUCA;PRADERA;Tipo I;En intervención
VALLE DEL CAUCA;RESTREPO;Tipo IV;Sin minas
VALLE DEL CAUCA;RIOFRÍO;Tipo II;En intervención
VALLE DEL CAUCA;ROLDANILLO;Tipo IV;Sin minas
VALLE DEL CAUCA;SAN PEDRO;Tipo I;Sin minas
VALLE DEL CAUCA;SEVILLA;Tipo II;Sin minas
VALLE DEL CAUCA;TORO;Tipo IV;Sin minas
VALLE DEL CAUCA;TRUJILLO;Tipo IV;Sin minas
VALLE DEL CAUCA;TULUÁ;Tipo I;En intervención
VALLE DEL CAUCA;ULLOA;Tipo IV;Sin minas
VALLE DEL CAUCA;VERSALLES;Tipo III;Sin minas
VALLE DEL CAUCA;VIJES;Tipo IV;Sin minas
VALLE DEL CAUCA;YOTOCO;Tipo IV;Sin minas
VALLE DEL CAUCA;YUMBO;Tipo IV;Sin minas
VALLE DEL CAUCA;ZARZAL;Tipo IV;Sin minas
VAUPÉS;CARURÚ;Tipo I;En intervención
VAUPÉS;MITÚ;Tipo II;En intervención
VAUPÉS;PACOA;Tipo IV;Sin minas
VAUPÉS;PAPUNAUA;Tipo IV;Sin minas
VAUPÉS;TARAIRA;Tipo IV;Sin minas
VAUPÉS;YAVARATÉ;Tipo IV;Sin minas
VICHADA;CUMARIBO;Tipo I;Por intervenir
VICHADA;LA PRIMAVERA;Tipo III;Sin minas
VICHADA;PUERTO CARREÑO;Tipo II;Por intervenir
VICHADA;SANTA ROSALÍA;Tipo IV;Sin minas
